"sources","layers"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscatasto","rt_cat.idcatfabbr.rt"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscatasto","rt_cat.idcatfabbr.svil_xyz.rt"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscatasto","rt_cat.idcatbdfog.rt"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscatasto","rt_cat.idcatbdfog.bbox.rt"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscatasto","rt_cat.idcatpart.rt"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscatasto","rt_cat.idcatpart.contiene_fabbricati.rt"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscatasto","rt_cat.idcatpart.svil_xyz.rt"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscatasto","rt_cat.idcatpart.bbox.rt"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscatasto","rt_cat.idcattopon.rt"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscatasto","rt_cat.iddividentedemaniale.2015.rt.line"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscatasto","rt_cat.ricogniz_ex_art32.proposte_comunali.2015.rt"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscatasto","rt_cat.ricogniz_ex_art32.istruttoria_regionale.2015.rt"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscatasto","rt_cat.segnalaz_proposte_ex_art35.2015.rt"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsistat","rt_istat"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsistat","rt_istat.CENUCL2001"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsistat","rt_istat.CENUCL2011"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsistat","rt_istat.S_DA2_2001"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsistat","rt_istat.S_DA2_2011"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsistat","rt_istat.S_DA3_2001"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsistat","rt_istat.S_DA3_2011"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsistat","rt_istat.S_DA44_2001"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsistat","rt_istat.S_DA44_2011"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsistat","rt_istat.S_DE17_2001"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsistat","rt_istat.S_DE17_2011"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsistat","rt_istat.S_DE18_2001"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsistat","rt_istat.S_DE18_2011"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsistat","rt_istat.S_DE19_2001"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsistat","rt_istat.S_DE19_2011"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsistat","rt_istat.S_DE1_2001"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsistat","rt_istat.S_DE1_2011"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsistat","rt_istat.S_DE20_2001"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsistat","rt_istat.S_DE20_2011"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsistat","rt_istat.S_DE2_2001"
